MutantID,Status,Output
133,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/133/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -47 +47 @@|-        } else if (trian == 3 && b + c > a) {|+        } else if (trian == 0 && b + c > a) {|
132,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/132/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -46 +46 @@|-            return Type.ISOSCELES;|+            |
131,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/131/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -45 +45 @@|-        } else if (trian == 2 && a + c > b) {|+        } else if (a + c > b) {|
130,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/130/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -45 +45 @@|-        } else if (trian == 2 && a + c > b) {|+        } else if (trian == 2) {|
137,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/137/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -47 +47 @@|-        } else if (trian == 3 && b + c > a) {|+        } else if (false && b + c > a) {|
136,LIVE,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/136/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -47 +47 @@|-        } else if (trian == 3 && b + c > a) {|+        } else if (trian >= 3 && b + c > a) {|
135,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/135/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -47 +47 @@|-        } else if (trian == 3 && b + c > a) {|+        } else if (trian <= 3 && b + c > a) {|
134,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/134/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -47 +47 @@|-        } else if (trian == 3 && b + c > a) {|+        } else if (trian == -3 && b + c > a) {|
139,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/139/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -47 +47 @@|-        } else if (trian == 3 && b + c > a) {|+        } else if (trian == 3 && b * c > a) {|
138,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/138/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -47 +47 @@|-        } else if (trian == 3 && b + c > a) {|+        } else if (trian == 3 && b % c > a) {|
24,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/24/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -21 +21 @@|-            return Type.INVALID;|+            |
25,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/25/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -23 +23 @@|-        int trian = 0;|+        int trian = 1;|
26,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/26/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -23 +23 @@|-        int trian = 0;|+        int trian = -1;|
